Date,Time,Tosser,Toss #,Start,End: H,End: T,,,Time,Tosser,Toss #,Start,End: H,End: T
,,,546,H,1,,,,,,596,T,1,
,,,547,H,,1,,,,,597,T,,1
,,,548,H,,1,,,,,598,T,,1
,,,549,H,1,,,,,,599,T,,1
,,,550,H,1,,,,,,600,T,1,
,,,,,,,,,,,,,,
,8:43pm,Janet,601,H,1,,,,8:48pm,Priscilla,651,T,,1
,,,602,H,,1,,,,,652,T,,1
,,,603,H,1,,,,,,653,T,1,
,,,604,H,,1,,,,,654,T,1,
,,,605,H,1,,,,,,655,T,1,
,,,606,H,,1,,,,,656,T,,1
,,,607,H,,1,,,,,657,T,,1
,,,608,H,1,,,,,,658,T,1,
,,,609,H,1,,,,,,659,T,1,
,,,610,H,,1,,,,,660,T,,1
,,,611,H,,1,,,,,661,T,,1
,,,612,H,,1,,,,,662,T,1,
,,,613,H,,1,,,,,663,T,1,
,,,614,H,1,,,,,,664,T,1,
,,,615,H,1,,,,,,665,T,,1
,,,616,H,,1,,,,,666,T,1,
,,,617,H,,1,,,,,667,T,1,
,,,618,H,,1,,,,,668,T,1,
,,,619,H,1,,,,,,669,T,1,
,,,620,H,,1,,,,,670,T,1,
,,,621,H,,1,,,,,671,T,,1
,,,622,H,1,,,,,,672,T,,1
,,,623,H,,1,,,,,673,T,1,
,,,624,H,,1,,,,,674,T,1,
,,,625,H,,1,,,,,675,T,,1
,,,626,H,1,,,,,,676,T,,1
,,,627,H,,1,,,,,677,T,1,
,,,628,H,,1,,,,,678,T,,1
,,,629,H,,1,,,,,679,T,1,
,,,630,H,1,,,,,,680,T,,1
,,,631,H,1,,,,,,681,T,,1
,,,632,H,,1,,,,,682,T,1,
,,,633,H,1,,,,,,683,T,1,
,,,634,H,1,,,,,,684,T,,1
,,,635,H,,1,,,,,685,T,1,
,,,636,H,,1,,,,,686,T,1,
,,,637,H,,1,,,,,687,T,1,
,,,638,H,,1,,,,,688,T,1,
,,,639,H,1,,,,,,689,T,,1
,,,640,H,,1,,,,,690,T,,1
,,,641,H,,1,,,,,691,T,1,
,,,642,H,,1,,,,,692,T,1,
,,,643,H,1,,,,,,693,T,1,
,,,644,H,1,,,,,,694,T,1,
,,,645,H,,1,,,,,695,T,,1
,,,646,H,1,,,,,,696,T,1,
,,,647,H,1,,,,,,697,T,,1
,,,648,H,,1,,,,,698,T,,1
,,,649,H,1,,,,,,699,T,1,
,,,650,H,,1,,,,,700,T,1,
,,,,,,,,,,,,,,
,8:54 PM,Janet,701,H,,1,,,9:00pm,Priscilla,751,T,1,
,,,702,H,,1,,,,,752,T,1,
,,,703,H,,1,,,,,753,T,1,
,,,704,H,,1,,,,,754,T,,1
,,,705,H,,1,,,,,755,T,,1
,,,706,H,1,,,,,,756,T,,1
,,,707,H,,1,,,,,757,T,1,
,,,708,H,1,,,,,,758,T,1,
,,,709,H,,1,,,,,759,T,1,
,,,710,H,1,,,,,,760,T,,1
,,,711,H,1,,,,,,761,T,1,
,,,712,H,1,,,,,,762,T,1,
,,,713,H,,1,,,,,763,T,1,
,,,714,H,,1,,,,,764,T,1,
,,,715,H,1,,,,,,765,T,,1
,,,716,H,1,,,,,,766,T,1,
,,,717,H,,1,,,,,767,T,,1
,,,718,H,1,,,,,,768,T,1,
,,,719,H,,1,,,,,769,T,,1
,,,720,H,,1,,,,,770,T,,1
,,,721,H,,1,,,,,771,T,,1
,,,722,H,,1,,,,,772,T,,1
,,,723,H,1,,,,,,773,T,1,
,,,724,H,1,,,,,,774,T,,1
,,,725,H,1,,,,,,775,T,1,
,,,726,H,,1,,,,,776,T,1,
,,,727,H,1,,,,,,777,T,1,
,,,728,H,,1,,,,,778,T,1,
,,,729,H,,1,,,,,779,T,1,
,,,730,H,1,,,,,,780,T,,1
,,,731,H,1,,,,,,781,T,1,
,,,732,H,,1,,,,,782,T,,1
,,,733,H,,1,,,,,783,T,,1
,,,734,H,,1,,,,,784,T,1,
,,,735,H,1,,,,,,785,T,1,
,,,736,H,1,,,,,,786,T,,1
,,,737,H,1,,,,,,787,T,,1
,,,738,H,1,,,,,,788,T,,1
,,,739,H,1,,,,,,789,T,,1
,,,740,H,1,,,,,,790,T,,1
,,,741,H,,1,,,,,791,T,,1
,,,742,H,,1,,,,,792,T,,1
,,,743,H,,1,,,,,793,T,,1
,,,744,H,1,,,,,,794,T,,1
,,,745,H,1,,,,,,795,T,,1
,,,746,H,,1,,,,,796,T,,1
,,,747,H,1,,,,,,797,T,1,
,,,748,H,1,,,,,,798,T,1,
,,,749,H,,1,,,,,799,T,1,
,,,750,H,,1,,,,,800,T,1,
,,,,,,,,,,,,,,
,9:04 PM,Janet,801,H,1,,,,9:09 PM,Priscilla,851,T,,1
,,,802,H,1,,,,,,852,T,1,
,,,803,H,1,,,,,,853,T,1,
,,,804,H,1,,,,,,854,T,,1
,,,805,H,,1,,,,,855,T,1,
,,,806,H,1,,,,,,856,T,,1
,,,807,H,1,,,,,,857,T,,1
,,,808,H,,1,,,,,858,T,1,
,,,809,H,,1,,,,,859,T,1,
,,,810,H,,1,,,,,860,T,1,
,,,811,H,1,,,,,,861,T,,1
,,,812,H,,1,,,,,862,T,,1
,,,813,H,,1,,,,,863,T,1,
,,,814,H,1,,,,,,864,T,1,
,,,815,H,1,,,,,,865,T,,1
,,,816,H,1,,,,,,866,T,1,
,,,817,H,,1,,,,,867,T,,1
,,,818,H,,1,,,,,868,T,,1
,,,819,H,,1,,,,,869,T,1,
,,,820,H,1,,,,,,870,T,1,
,,,821,H,1,,,,,,871,T,,1
,,,822,H,1,,,,,,872,T,1,
,,,823,H,1,,,,,,873,T,1,
,,,824,H,1,,,,,,874,T,,1
,,,825,H,1,,,,,,875,T,1,
,,,826,H,,1,,,,,876,T,1,
,,,827,H,,1,,,,,877,T,1,
,,,828,H,1,,,,,,878,T,1,
,,,829,H,,1,,,,,879,T,1,
,,,830,H,,1,,,,,880,T,1,
,,,831,H,1,,,,,,881,T,,1
,,,832,H,,1,,,,,882,T,1,
,,,833,H,,1,,,,,883,T,,1
,,,834,H,1,,,,,,884,T,1,
,,,835,H,,1,,,,,885,T,1,
,,,836,H,1,,,,,,886,T,,1
,,,837,H,1,,,,,,887,T,1,
,,,838,H,,1,,,,,888,T,,1
,,,839,H,,1,,,,,889,T,1,
,,,840,H,,1,,,,,890,T,,1
,,,841,H,,1,,,,,891,T,1,
,,,842,H,1,,,,,,892,T,1,
,,,843,H,,1,,,,,893,T,1,
,,,844,H,,1,,,,,894,T,1,
,,,845,H,1,,,,,,895,T,,1
,,,846,H,1,,,,,,896,T,,1
,,,847,H,1,,,,,,897,T,1,
,,,848,H,1,,,,,,898,T,,1
,,,849,H,,1,,,,,899,T,,1
,,,850,H,,1,,,,,900,T,,1
,,,,,,,,,,,,,,
,9:14 PM,Janet,901,H,,1,,,9:18pm,Priscilla,951,T,1,
,,,902,H,1,,,,,,952,T,,1
,,,903,H,,1,,,,,953,T,1,
,,,904,H,1,,,,,,954,T,,1
,,,905,H,1,,,,,,955,T,,1
,,,906,H,1,,,,,,956,T,1,
,,,907,H,,1,,,,,957,T,1,
,,,908,H,,1,,,,,958,T,1,
,,,909,H,1,,,,,,959,T,1,
,,,910,H,1,,,,,,960,T,,1
,,,911,H,,1,,,,,961,T,1,
,,,912,H,1,,,,,,962,T,1,
,,,913,H,1,,,,,,963,T,1,
,,,914,H,1,,,,,,964,T,1,
,,,915,H,,1,,,,,965,T,1,
,,,916,H,1,,,,,,966,T,,1
,,,917,H,1,,,,,,967,T,,1
,,,918,H,,1,,,,,968,T,,1
,,,919,H,,1,,,,,969,T,,1
,,,920,H,,1,,,,,970,T,,1
,,,921,H,1,,,,,,971,T,1,
,,,922,H,1,,,,,,972,T,1,
,,,923,H,,1,,,,,973,T,1,
,,,924,H,,1,,,,,974,T,1,
,,,925,H,,1,,,,,975,T,,1
,,,926,H,1,,,,,,976,T,1,
,,,927,H,,1,,,,,977,T,1,
,,,928,H,,1,,,,,978,T,,1
,,,929,H,1,,,,,,979,T,,1
,,,930,H,1,,,,,,980,T,1,
,,,931,H,1,,,,,,981,T,1,
,,,932,H,,1,,,,,982,T,1,
,,,933,H,,1,,,,,983,T,,1
,,,934,H,,1,,,,,984,T,,1
,,,935,H,1,,,,,,985,T,1,
,,,936,H,,1,,,,,986,T,1,
,,,937,H,1,,,,,,987,T,,1
,,,938,H,1,,,,,,988,T,,1
,,,939,H,,1,,,,,989,T,1,
,,,940,H,,1,,,,,990,T,,1
,,,941,H,1,,,,,,991,T,,1
,,,942,H,1,,,,,,992,T,,1
,,,943,H,,1,,,,,993,T,,1
,,,944,H,1,,,,,,994,T,1,
,,,945,H,1,,,,,,995,T,,1
,,,946,H,1,,,,,,996,T,,1
,,,947,H,1,,,,,,997,T,,1
,,,948,H,1,,,,,,998,T,,1
,,,949,H,,1,,,,,999,T,1,
,,,950,H,,1,,,,,1000,T,1,
,,,,,,,,,,,,,,
Results,300 Start H,154,H,,,,,,,,,,,
,300 Start T,140,T,,,,,,,,,,,
15-Feb,9:13pm,Janet,1001,H,1,,,,9:17pm,Priscilla,1051,T,,1
,,,1002,H,,1,,,,,1052,T,1,
,,,1003,H,,1,,,,,1053,T,1,
,,,1004,H,,1,,,,,1054,T,1,
,,,1005,H,,1,,,,,1055,T,,1
,,,1006,H,1,,,,,,1056,T,,1
,,,1007,H,,1,,,,,1057,T,1,
,,,1008,H,,1,,,,,1058,T,,1
,,,1009,H,1,,,,,,1059,T,,1
,,,1010,H,1,,,,,,1060,T,1,
,,,1011,H,1,,,,,,1061,T,,1
,,,1012,H,1,,,,,,1062,T,1,
,,,1013,H,,1,,,,,1063,T,1,
,,,1014,H,,1,,,,,1064,T,1,
,,,1015,H,,1,,,,,1065,T,,1
,,,1016,H,1,,,,,,1066,T,1,
,,,1017,H,,1,,,,,1067,T,1,
,,,1018,H,1,,,,,,1068,T,,1
,,,1019,H,,1,,,,,1069,T,,1
,,,1020,H,1,,,,,,1070,T,1,
,,,1021,H,1,,,,,,1071,T,1,
,,,1022,H,1,,,,,,1072,T,1,
,,,1023,H,,1,,,,,1073,T,1,
,,,1024,H,,1,,,,,1074,T,,1
,,,1025,H,1,,,,,,1075,T,,1
,,,1026,H,,1,,,,,1076,T,,1
,,,1027,H,1,,,,,,1077,T,1,
